id,pdbid,NAKBnaList,NAKBprotList,NAKBligList
7CPW,7CPW,"A-G mispair,catalytic,feature,function,mispair,structure","enzyme,polymerase,transferase",
7CQ4,7CQ4,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
7CRR,7CRR,"double helix,structure","chromatin,enzyme,methylase,nucleosome,structural,transferase",
7CSK,7CSK,"quadruplex,structure",,quadruplex groove binding
7CSW,7CSW,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),lambda repressor-like,regulatory,transcription",
7CSY,7CSY,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),lambda repressor-like,regulatory,transcription",
7CTT,7CTT,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7CVO,7CVO,"B-form double helix,double helix,structure","regulatory,transcription",
7CVQ,7CVQ,"A-G mispair,double helix,feature,mispair,structure","regulatory,transcription",
7CXN,7CXN,"A-form double helix,double helix,structure","enzyme,helicase,hydrolase,polymerase,transferase",
7CY6,7CY6,"B-form double helix,double helix,structure","enzyme,oxidoreductase",
7CY7,7CY7,"B-form double helix,double helix,structure","enzyme,oxidoreductase",
7CY8,7CY8,"B-form double helix,double helix,structure","enzyme,oxidoreductase",
7CYQ,7CYQ,"A-form double helix,double helix,structure","enzyme,helicase,hydrolase,polymerase,transferase",
7D0F,7D0F,"catalytic,function,group II intron ribozyme","enzyme,hydrolase,nuclease,polymerase,post-transcriptional,regulatory,splicing,transferase",
7D0G,7D0G,"catalytic,function,group II intron ribozyme","enzyme,hydrolase,nuclease,polymerase,post-transcriptional,regulatory,splicing,transferase",
7D1A,7D1A,"catalytic,function,group II intron ribozyme","enzyme,hydrolase,nuclease,polymerase,post-transcriptional,regulatory,splicing,transferase",
7D1Z,7D1Z,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,structural,transferase",
7D20,7D20,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,structural,transferase",
7D3T,7D3T,"B-form double helix,double helix,structure","regulatory,transcription",
7D4I,7D4I,"function,post-transcriptional processing,protein synthesis,ribosomal RNA,small nucleolar RNA (snoRNA)","enzyme,exosome,helicase,hydrolase,methylase,post-transcriptional,regulatory,ribonucleoprotein,ribosome,spliceosome,splicing,structural,transferase,translation",
7D5S,7D5S,"function,post-transcriptional processing,protein synthesis,ribosomal RNA,small nucleolar RNA (snoRNA)","enzyme,methylase,post-transcriptional,regulatory,ribonucleoprotein,ribosome,spliceosome,splicing,structural,transferase,translation",
7D5T,7D5T,"function,post-transcriptional processing,protein synthesis,ribosomal RNA,small nucleolar RNA (snoRNA)","enzyme,helicase,hydrolase,methylase,post-transcriptional,regulatory,ribonucleoprotein,ribosome,spliceosome,splicing,structural,transferase,translation",
7D63,7D63,"function,post-transcriptional processing,protein synthesis,ribosomal RNA,small nucleolar RNA (snoRNA)","enzyme,helicase,hydrolase,methylase,post-transcriptional,regulatory,ribonucleoprotein,ribosome,spliceosome,splicing,structural,transferase,translation",
7D69,7D69,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
7D6Z,7D6Z,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,isomerase,ribonucleoprotein,ribosome,structural",
7D7V,7D7V,"enzyme cofactor riboswitch,function,riboswitch","ribonucleoprotein,spliceosome,structural",
7D80,7D80,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,isomerase,ribonucleoprotein,ribosome,structural",
7DA7,7DA7,"catalytic,function,ribonuclease P ribozyme","cell signaling,immune system,innate immunity,regulatory",
7DAS,7DAS,"catalytic,function,ribonuclease P ribozyme","cell signaling,immune system,innate immunity,regulatory",
7DBH,7DBH,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
7DBM,7DBM,"double helix,structure","enzyme,polymerase,transferase",
7DBN,7DBN,"double helix,structure","enzyme,polymerase,transferase",
7DCI,7DCI,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7DCJ,7DCJ,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7DCO,7DCO,"function,post-transcriptional processing,small nuclear RNA (snRNA)","enzyme,helicase,hydrolase,isomerase,post-transcriptional,regulatory,ribonucleoprotein,spliceosome,splicing,structural",
7DCS,7DCS,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7DCT,7DCT,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7DCU,7DCU,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7DFG,7DFG,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7DFH,7DFH,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7DOI,7DOI,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7DOK,7DOK,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7DPE,7DPE,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7DQ0,7DQ0,"T-T mispair,double helix,feature,mispair,structure",,"bis-intercalating,intercalating,minor groove binding"
7DQ8,7DQ8,"C-T mispair,double helix,feature,mispair,structure",,"bis-intercalating,intercalating,minor groove binding"
7DTA,7DTA,"B-form double helix,double helix,structure","DNA replication/repair,regulatory",
7DTE,7DTE,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7DUG,7DUG,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7DUH,7DUH,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7DUI,7DUI,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7DUJ,7DUJ,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7DUK,7DUK,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7DUL,7DUL,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7DV2,7DV2,"double helix,structure","cell cycle,regulatory",
7DVQ,7DVQ,"function,post-transcriptional processing,small nuclear RNA (snRNA)","cell cycle,cell signaling,enzyme,helicase,hydrolase,isomerase,post-transcriptional,regulatory,ribonucleoprotein,spliceosome,splicing,structural,transferase",
7DVV,7DVV,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7DWR,7DWR,"double helix,structure","cell signaling,regulatory",
7E1B,7E1B,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7E8D,7E8D,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,structural,transferase",
7E8I,7E8I,"B-form double helix,double helix,structure","chromatin,enzyme,nucleosome,post-transcriptional,regulatory,splicing,structural,transferase",
7E8O,7E8O,"function,protein synthesis,transfer RNA","enzyme,hydrolase,nuclease",
7EA5,7EA5,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,structural,transferase",
7EA8,7EA8,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,structural,transferase",
7ED5,7ED5,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7EDB,7EDB,"double helix,structure","enzyme,hydrolase,nuclease",
7EDS,7EDS,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),P53 like,immunoglobulin (Ig) fold,regulatory,transcription",
7EEU,7EEU,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),P53 like,immunoglobulin (Ig) fold,regulatory,transcription",
7EF8,7EF8,"B-form double helix,double helix,structure","enzyme,hydrolase",
7EG6,7EG6,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
7EG7,7EG7,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,helicase,hydrolase,polymerase,regulatory,transcription,transferase",
7EG9,7EG9,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,helicase,hydrolase,polymerase,regulatory,transcription,transferase",
7EGB,7EGB,"A-A mispair,B-form double helix,T-T mispair,double helix,feature,mispair,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,helicase,hydrolase,kinase,polymerase,regulatory,transcription,transferase",
7EGD,7EGD,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,regulatory,transcription,transferase",
7EGH,7EGH,"B-form double helix,double helix,structure","enzyme,regulatory,transcription,transferase",
7EGJ,7EGJ,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,regulatory,transcription,transferase",
7EGP,7EGP,"double helix,structure","chromatin,enzyme,helicase,hydrolase,nucleosome,regulatory,structural,transcription",
7EIZ,7EIZ,"double helix,structure","enzyme,helicase,hydrolase,nuclease,polymerase,regulatory,transcription,transferase",
7EJ7,7EJ7,"double helix,structure","DNA replication/repair,regulatory",
7EJE,7EJE,"double helix,structure","DNA replication/repair,regulatory",
7EL3,7EL3,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7EL7,7EL7,"quadruplex,structure",,"end stacking,intercalating,metal coordinating ligand,minor groove binding"
7ELE,7ELE,"double helix,structure","enzyme,gene silencing,hydrolase,nuclease,regulatory",
7ENN,7ENN,"B-form double helix,double helix,structure","chromatin,enzyme,helicase,hydrolase,nucleosome,structural",
7EOF,7EOF,"B-form double helix,double helix,structure","regulatory,transcription",
7ET4,7ET4,"B-form double helix,double helix,structure","regulatory,transcription",
7ET6,7ET6,"B-form double helix,double helix,structure","regulatory,transcription",
7EVO,7EVO,"function,post-transcriptional processing,small nuclear RNA (snRNA)","enzyme,helicase,hydrolase,post-transcriptional,regulatory,ribonucleoprotein,spliceosome,splicing,structural",
7EZJ,7EZJ,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),P53 like,immunoglobulin (Ig) fold,regulatory,transcription",
7F0D,7F0D,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
7F2F,7F2F,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,helix-loop-helix (bHLH),regulatory,transcription",
7F36,7F36,"function,protein synthesis,transfer RNA","enzyme,transferase",
7F49,7F49,"aptamer,function",regulatory,
7F5S,7F5S,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
7F9H,7F9H,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
7FEF,7FEF,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),SMAD-like,regulatory,transcription",
7FGT,7FGT,"B-form double helix,double helix,structure",,minor groove binding
7FHJ,7FHJ,"B-form double helix,double helix,structure","chromatin,structural",
7FJ2,7FJ2,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7FTN,7FTN,"B-form double helix,double helix,structure","enzyme,transferase",
7FVS,7FVS,"double helix,structure","enzyme,isomerase",
7FVT,7FVT,"double helix,structure","enzyme,isomerase",
7GAT,7GAT,"double helix,structure","regulatory,transcription",
7ICE,7ICE,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICF,7ICF,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICG,7ICG,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICH,7ICH,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICI,7ICI,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICJ,7ICJ,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICK,7ICK,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICL,7ICL,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICM,7ICM,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICN,7ICN,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICO,7ICO,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICP,7ICP,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICQ,7ICQ,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICR,7ICR,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICS,7ICS,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICT,7ICT,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICU,7ICU,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7ICV,7ICV,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7JGR,7JGR,"B-form double helix,double helix,structure","DNA replication/repair,cell cycle,regulatory",
7JGS,7JGS,"B-form double helix,double helix,structure","DNA replication/repair,cell cycle,regulatory",
7JIL,7JIL,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
7JK1,7JK1,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7JK2,7JK2,"B-form double helix,double helix,structure","DNA replication/repair,cell cycle,regulatory",
7JK3,7JK3,"B-form double helix,double helix,structure","DNA replication/repair,cell cycle,regulatory",
7JK4,7JK4,"B-form double helix,double helix,structure","DNA replication/repair,cell cycle,regulatory",
7JK5,7JK5,"B-form double helix,double helix,structure","DNA replication/repair,cell cycle,regulatory",
7JKL,7JKL,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7JKP,7JKP,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7JL0,7JL0,"A-form double helix,double helix,structure","enzyme,helicase,hydrolase,ligase",
7JL1,7JL1,"A-form double helix,double helix,structure","enzyme,helicase,hydrolase,transferase",
7JL3,7JL3,"A-form double helix,double helix,structure","enzyme,helicase,hydrolase,transferase",
7JL8,7JL8,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7JLG,7JLG,"double helix,structure","enzyme,polymerase,transferase",
7JM4,7JM4,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7JNP,7JNP,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,tetR family,transcription",
7JO9,7JO9,"B-form double helix,double helix,structure","chromatin,enzyme,nucleosome,structural,transferase",
7JOA,7JOA,"B-form double helix,double helix,structure","chromatin,enzyme,nucleosome,structural,transferase",
7JPS,7JPS,"B-form double helix,double helix,structure","cell cycle,regulatory",
7JQB,7JQB,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7JQC,7JQC,"IRES element,function,protein synthesis,ribosomal RNA,translation regulating","regulatory,ribonucleoprotein,ribosome,structural,translation",
7JQL,7JQL,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7JQM,7JQM,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7JSA,7JSA,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7JSL,7JSL,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
7JSS,7JSS,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
7JSW,7JSW,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
7JSZ,7JSZ,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
7JT1,7JT1,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
7JT2,7JT2,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
7JT3,7JT3,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
7JTN,7JTN,"aptamer,function","complement,enzyme,hydrolase,immune system,protease,regulatory",
7JTQ,7JTQ,"aptamer,function","complement,enzyme,hydrolase,immune system,protease,regulatory",
7JU3,7JU3,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,tetR family,transcription",
7JZV,7JZV,"B-form double helix,double helix,structure","DNA replication/repair,chromatin,enzyme,ligase,nucleosome,post-transcriptional,regulatory,splicing,structural,transferase",
7K00,7K00,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7K0Y,7K0Y,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,helicase,hydrolase,kinase,regulatory,transferase",
7K19,7K19,"double helix,structure","enzyme,kinase,transferase",
7K1B,7K1B,"B-form double helix,double helix,structure","enzyme,kinase,transferase",
7K1J,7K1J,"double helix,structure","DNA replication/repair,enzyme,helicase,hydrolase,kinase,regulatory,transferase",
7K1K,7K1K,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,helicase,hydrolase,kinase,regulatory,transferase",
7K1N,7K1N,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,helicase,hydrolase,kinase,regulatory,transferase",
7K30,7K30,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
7K31,7K31,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
7K32,7K32,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
7K33,7K33,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
7K50,7K50,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7K51,7K51,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7K52,7K52,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7K53,7K53,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7K54,7K54,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7K55,7K55,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7K5I,7K5I,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7K5O,7K5O,"double helix,structure","enzyme,polymerase,transferase",
7K5P,7K5P,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7K5Q,7K5Q,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7K5R,7K5R,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7K5S,7K5S,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7K5U,7K5U,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7K5X,7K5X,"B-form double helix,double helix,structure","antibody,chromatin,immune system,nucleosome,regulatory,structural",
7K5Y,7K5Y,"B-form double helix,double helix,structure","antibody,chromatin,immune system,nucleosome,regulatory,structural",
7K60,7K60,"B-form double helix,double helix,structure","antibody,chromatin,immune system,nucleosome,regulatory,structural",
7K61,7K61,"B-form double helix,double helix,structure","antibody,chromatin,immune system,nucleosome,regulatory,structural",
7K63,7K63,"B-form double helix,double helix,structure","antibody,chromatin,immune system,nucleosome,regulatory,structural",
7K6P,7K6P,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,regulatory,structural,transferase",
7K6Q,7K6Q,"B-form double helix,double helix,structure","chromatin,enzyme,methylase,nucleosome,regulatory,structural,transferase",
7K7G,7K7G,"A-C mispair,C-C mispair,double helix,feature,mispair,structure","centromere,chromatin,nucleosome,regulatory,structural,transcription",
7K98,7K98,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
7K9D,7K9D,"OLE RNA,function,other/unknown",regulatory,
7K9E,7K9E,"OLE RNA,function,other/unknown",regulatory,
7K9M,7K9M,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
7K9Y,7K9Y,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KA0,7KA0,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
7KAB,7KAB,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
7KBD,7KBD,"A-C mispair,B-form double helix,double helix,feature,mispair,structure","chromatin,nucleosome,structural",
7KBE,7KBE,"A-C mispair,B-form double helix,double helix,feature,mispair,structure","chromatin,nucleosome,structural",
7KBW,7KBW,"quadruplex,structure",,end stacking
7KBX,7KBX,"quadruplex,structure",,end stacking
7KC0,7KC0,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,polymerase,regulatory,transferase",
7KFN,7KFN,"A-form double helix,double helix,structure","enzyme,hydrolase",
7KGB,7KGB,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7KIJ,7KIJ,"double helix,structure","enzyme,helicase,hydrolase",
7KIK,7KIK,"double helix,structure","DNA replication/repair,enzyme,helicase,hydrolase,regulatory",
7KJT,7KJT,"function,protein synthesis,transfer RNA",regulatory,
7KJV,7KJV,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KJW,7KJW,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KJX,7KJX,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KKV,7KKV,"OLE RNA,function,other/unknown",regulatory,
7KLE,7KLE,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KLF,7KLF,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KQM,7KQM,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7KR3,7KR3,"B-form double helix,double helix,structure","enzyme,ligase",
7KR4,7KR4,"double helix,structure","enzyme,ligase",
7KSP,7KSP,"A-C mispair,double helix,feature,mispair,structure","regulatory,transcription",
7KU4,7KU4,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
7KUF,7KUF,"B-form double helix,double helix,structure","enzyme,polymerase,regulatory,transcription,transferase",
7KUK,7KUK,"A-form double helix,catalytic,double helix,function,self-replicating,structure",,nucleotide like
7KUL,7KUL,"A-form double helix,double helix,structure",,nucleotide like
7KUM,7KUM,"A-form double helix,catalytic,double helix,function,self-replicating,structure",,nucleotide like
7KUN,7KUN,"A-form double helix,double helix,structure",,nucleotide like
7KUO,7KUO,"A-form double helix,catalytic,double helix,function,self-replicating,structure",,nucleotide like
7KUP,7KUP,"A-form double helix,catalytic,double helix,function,self-replicating,structure",,nucleotide like
7KVT,7KVT,"aptamer,fluorescing aptamer,function",,nucleotide like
7KVU,7KVU,"aptamer,fluorescing aptamer,function",,nucleotide like
7KVV,7KVV,"aptamer,fluorescing aptamer,function",,intercalating
7KWG,7KWG,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
7KWK,7KWK,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
7KZ0,7KZ0,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,hydrolase,regulatory",
7KZ1,7KZ1,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,hydrolase,regulatory",
7KZG,7KZG,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,hydrolase,regulatory",
7KZS,7KZS,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,regulatory,transferase",
7KZT,7KZT,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,regulatory,transferase",
7KZV,7KZV,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,regulatory,transferase",
7L08,7L08,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7L0Z,7L0Z,"aptamer,fluorescing aptamer,function",,nucleotide like
7L1F,7L1F,"A-form double helix,double helix,structure","enzyme,polymerase,transferase",
7L20,7L20,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7L34,7L34,"double helix,structure","enzyme,ligase",
7L35,7L35,"double helix,structure","enzyme,ligase",
7L4C,7L4C,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7L4F,7L4F,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7L4H,7L4H,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7L4K,7L4K,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7L4M,7L4M,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7L4N,7L4N,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
7L4V,7L4V,"B-form double helix,G-T mispair,double helix,feature,mispair,structure","DNA-binding transcription factor (TF),basic transcription factor,leucine zipper (bZIP),regulatory,transcription",
7L69,7L69,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7LBM,7LBM,"double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,helicase,hydrolase,kinase,polymerase,regulatory,transcription,transferase",
7LBX,7LBX,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),HMG box,other &alpha;-helix,regulatory,transcription",
7LCD,7LCD,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7LH5,7LH5,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7LH9,7LH9,"B-form double helix,double helix,structure","regulatory,transcription",
7LHZ,7LHZ,"double helix,structure","enzyme,isomerase",
7LJ3,7LJ3,"function,protein synthesis,transfer RNA","structural,virus",
7LNE,7LNE,"A-form double helix,double helix,structure",,nucleotide like
7LNF,7LNF,"A-form double helix,double helix,structure",,nucleotide like
7LNG,7LNG,"A-form double helix,double helix,structure",,nucleotide like
7LPG,7LPG,"B-form double helix,double helix,structure","enzyme,hydrolase,lyase,nuclease",
7LPH,7LPH,"B-form double helix,double helix,structure","enzyme,hydrolase,lyase,nuclease",
7LPI,7LPI,"B-form double helix,double helix,structure","enzyme,hydrolase,lyase,nuclease",
7LPJ,7LPJ,"B-form double helix,double helix,structure","enzyme,hydrolase,lyase,nuclease",
7LRI,7LRI,"double helix,structure","enzyme,polymerase,transferase",
7LRM,7LRM,"double helix,structure","enzyme,polymerase,transferase",
7LRX,7LRX,"double helix,structure","enzyme,polymerase,transferase",
7LRY,7LRY,"double helix,structure","enzyme,polymerase,transferase",
7LS1,7LS1,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7LS2,7LS2,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
7LSK,7LSK,"double helix,structure","enzyme,polymerase,transferase",
7LUF,7LUF,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
7LV0,7LV0,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
7LV8,7LV8,"double helix,structure","chromatin,nucleosome,structural",
7LV9,7LV9,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
7LVK,7LVK,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
7LXH,7LXH,"B-form double helix,double helix,structure","enzyme,hydrolase",
7LXJ,7LXJ,"B-form double helix,double helix,structure","enzyme,hydrolase",
7LYA,7LYA,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
